,cate1,cate2,paper_numbers,paper_index
63,Fish Hatchery,Algae,0,[]
64,Fish Hatchery,Antibiotic,0,[]
65,Fish Hatchery,Cardiometabolic Risks,0,[]
66,Maritime,Diving,0,[]
67,Maritime,Compression Disease,0,[]
68,Maritime,Epidemiologic,0,[]
69,Maritime,Skin Disease,0,[]
70,Maritime,Musculoskeletal symptoms,0,[]
71,Maritime,Noise,0,[]
72,Maritime,Noise Control,0,[]
73,Maritime,Hearing Loss,0,[]
74,Maritime,Visual Health,0,[]
75,Maritime,Eye Health,0,[]
76,Maritime,Oral Health,0,[]
77,Maritime,Respiratory system,0,[]
78,Maritime,Asthma,0,[]
79,Maritime,Lung Cancer,0,[]
80,Maritime,HIV,0,[]
81,Maritime,Drug,0,[]
82,Maritime,Opioid,0,[]
83,Maritime,Violence,0,[]
84,Maritime,Gender Bias,0,[]
85,Maritime,Algae,0,[]
86,Maritime,Antibiotic,0,[]
87,Maritime,Cardiometabolic Risks,0,[]
88,Fish Farm,Diving,0,[]
89,Fish Farm,Compression Disease,0,[]
90,Fish Farm,Epidemiologic,0,[]
91,Fish Farm,Skin Disease,0,[]
92,Fish Farm,Musculoskeletal symptoms,0,[]
93,Fish Farm,Noise,1,[0]
94,Fish Farm,Noise Control,0,[]
95,Fish Farm,Hearing Loss,0,[]
96,Fish Farm,Visual Health,0,[]
97,Fish Farm,Eye Health,0,[]
98,Fish Farm,Oral Health,0,[]
99,Fish Farm,Respiratory system,0,[]
100,Fish Farm,Asthma,1,[0]
101,Fish Farm,Lung Cancer,0,[]
102,Fish Farm,HIV,0,[]
103,Fish Farm,Drug,6,"[36, 304, 305, 306, 307, 308]"
104,Fish Farm,Opioid,0,[]
105,Fish Farm,Violence,0,[]
106,Fish Farm,Gender Bias,0,[]
107,Fish Farm,Algae,0,[]
108,Fish Farm,Antibiotic,2,"[36, 368]"
109,Fish Farm,Cardiometabolic Risks,0,[]
110,Farming,Diving,0,[]
111,Farming,Compression Disease,0,[]
112,Farming,Epidemiologic,0,[]
113,Farming,Skin Disease,0,[]
114,Farming,Musculoskeletal symptoms,0,[]
115,Farming,Noise,1,[0]
116,Farming,Noise Control,0,[]
117,Farming,Hearing Loss,0,[]
118,Farming,Visual Health,0,[]
119,Farming,Eye Health,0,[]
120,Farming,Oral Health,0,[]
121,Farming,Respiratory system,0,[]
122,Farming,Asthma,1,[0]
123,Farming,Lung Cancer,0,[]
124,Farming,HIV,0,[]
125,Farming,Drug,1,[36]
126,Farming,Opioid,0,[]
127,Farming,Violence,0,[]
128,Farming,Gender Bias,0,[]
129,Farming,Algae,1,[485]
130,Farming,Antibiotic,1,[36]
131,Farming,Cardiometabolic Risks,0,[]
132,Review,Diving,1,[243]
133,Review,Compression Disease,0,[]
134,Review,Epidemiologic,3,"[26, 512, 513]"
135,Review,Skin Disease,0,[]
136,Review,Musculoskeletal symptoms,0,[]
137,Review,Noise,2,"[0, 243]"
138,Review,Noise Control,0,[]
139,Review,Hearing Loss,6,"[238, 239, 240, 241, 242, 243]"
140,Review,Visual Health,0,[]
141,Review,Eye Health,0,[]
142,Review,Oral Health,0,[]
143,Review,Respiratory system,0,[]
144,Review,Asthma,2,"[0, 243]"
145,Review,Lung Cancer,0,[]
146,Review,HIV,0,[]
147,Review,Drug,2,"[20, 26]"
148,Review,Opioid,0,[]
149,Review,Violence,1,[265]
150,Review,Gender Bias,0,[]
151,Review,Algae,1,[507]
152,Review,Antibiotic,4,"[20, 26, 34, 40]"
153,Review,Cardiometabolic Risks,0,[]
