,cate1,paper_numbers,paper_index
0,Aquaculture,54,"[1, 3, 4, 5, 7, 8, 10, 11, 12, 15, 21, 29, 32, 33, 35, 38, 41, 67, 78, 80, 90, 106, 110, 116, 125, 127, 129, 130, 137, 139, 161, 162, 165, 170, 175, 178, 181, 182, 184, 186, 187, 196, 201, 226, 229, 231, 232, 235, 246, 257, 260, 281, 282, 283]"
1,Fishery,37,"[2, 13, 14, 15, 17, 22, 26, 31, 51, 54, 59, 60, 65, 66, 69, 70, 77, 81, 100, 102, 103, 105, 107, 136, 154, 155, 158, 159, 176, 188, 204, 210, 213, 230, 263, 268, 292]"
2,Fish Hatchery,2,"[90, 130]"
3,Maritime,9,"[9, 10, 13, 18, 20, 61, 118, 154, 228]"
4,Fish Farm,9,"[1, 3, 78, 80, 88, 125, 175, 221, 309]"
5,Farming,17,"[1, 54, 79, 88, 91, 125, 144, 152, 185, 186, 202, 221, 231, 235, 246, 253, 272]"
6,Review,31,"[3, 4, 5, 6, 8, 9, 10, 13, 35, 37, 38, 55, 61, 65, 68, 75, 87, 102, 116, 126, 137, 142, 144, 152, 155, 173, 185, 270, 284, 310, 318]"
